,,,,Daily Arrival Report-01-01-2023 to 31-12-2023 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,26.00,Metric Tonnes,22-11-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,19.00,Metric Tonnes,17-11-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,19.00,Metric Tonnes,16-11-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,4.00,Metric Tonnes,09-11-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,7.00,Metric Tonnes,07-11-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,12.00,Metric Tonnes,06-11-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,9.00,Metric Tonnes,16-10-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,2.00,Metric Tonnes,13-10-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,11.00,Metric Tonnes,10-10-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,15.00,Metric Tonnes,09-10-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,37.00,Metric Tonnes,06-10-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,52.00,Metric Tonnes,15-09-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,16.00,Metric Tonnes,08-09-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,63.00,Metric Tonnes,01-09-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,112.00,Metric Tonnes,24-08-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,98.00,Metric Tonnes,18-08-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,116.00,Metric Tonnes,17-08-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,146.00,Metric Tonnes,11-08-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,86.00,Metric Tonnes,10-08-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,127.00,Metric Tonnes,09-08-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,106.00,Metric Tonnes,08-08-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,118.00,Metric Tonnes,07-08-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,168.00,Metric Tonnes,04-08-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,161.00,Metric Tonnes,03-08-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,187.00,Metric Tonnes,02-08-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,182.00,Metric Tonnes,27-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,178.00,Metric Tonnes,26-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,196.00,Metric Tonnes,25-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,225.00,Metric Tonnes,24-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,131.00,Metric Tonnes,21-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,82.00,Metric Tonnes,20-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,223.00,Metric Tonnes,19-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,202.00,Metric Tonnes,18-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,160.00,Metric Tonnes,15-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,292.00,Metric Tonnes,14-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,312.00,Metric Tonnes,13-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,262.00,Metric Tonnes,12-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,227.00,Metric Tonnes,11-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,281.00,Metric Tonnes,10-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,144.00,Metric Tonnes,08-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,255.00,Metric Tonnes,06-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,243.00,Metric Tonnes,04-07-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,243.00,Metric Tonnes,03-07-2023
